Station Name,Line
Chennai Central,Green Line
Egmore,Green Line
Nehru Park,Green Line
Kilpauk Medical College,Green Line
Pachaiyappa's College,Green Line
Shenoy Nagar,Green Line
Anna Nagar East,Green Line
Anna Nagar Tower,Green Line
Thirumangalam,Green Line
Koyambedu,Green Line
CMBT,Green Line
Arumbakkam,Green Line
Vadapalani,Green Line
Ashok Nagar,Green Line
Ekkattuthangal,Green Line
Alandur,Green Line
St. Thomas Mount,Green Line
Washermanpet,Blue Line
Mannadi,Blue Line
High Court,Blue Line
Chennai Central,Blue Line
Government Estate,Blue Line
LIC,Blue Line
Thousand Lights,Blue Line
AG-DMS,Blue Line
Teynampet,Blue Line
Nandanam,Blue Line
Saidapet,Blue Line
Little Mount,Blue Line
Guindy,Blue Line
Alandur,Blue Line
Nanganallur Road,Blue Line
Meenambakkam,Blue Line
Chennai International Airport,Blue Line
