Station Name,Opening,Interchange connection,Station Layout,Depot Connection,Depot Layout
Inderlok,3 April 2010[4]," Red Line 
 Feeder Bus ",Elevated,None,None
Ashok Park Main,3 April 2010[4],      Feeder Bus ,Elevated,None,None
Punjabi Bagh,3 April 2010[4], Bus Terminal ,Elevated,None,None
Shivaji Park,3 April 2010[4], Feeder Bus ,Elevated,None,None
Madipur,3 April 2010[4], Feeder Bus ,Elevated,None,None
Paschim Vihar East,3 April 2010[4], Feeder Bus ,Elevated,None,None
Paschim Vihar West,3 April 2010[4], Feeder Bus ,Elevated,None,None
Peera Garhi,3 April 2010[4], Feeder Bus ,,None,None
Udyog Nagar,3 April 2010[4], Feeder Bus ,Elevated,None,None
Surajmal Stadium,3 April 2010[4], Feeder Bus ,Elevated,None,None
Nangloi,3 April 2010[4], Bus Terminal ,Elevated,None,None
Nangloi Railway station,3 April 2010[4]," Indian Railways 
 Feeder Bus ",Elevated,None,None
Rajdhani Park,3 April 2010[4], Feeder Bus ,Elevated,None,None
Mundka,3 April 2010[4]," Indian Railways 
 Bus Terminal ",Elevated,Mundka Depot,At Grade
Mundka Industrial Area (MIA),24 June 2018, Feeder Bus ,Elevated,None,None
Ghevra Metro station,24 June 2018, Indian Railways ,Elevated,None,None
Tikri Kalan,24 June 2018, Feeder Bus ,Elevated,None,None
Tikri Border,24 June 2018, Bus Terminal ,Elevated,None,None
Pandit Shree Ram Sharma,24 June 2018, Bus Terminal ,Elevated,"Modern Industrial Estate (MIE)
Depot",At Grade
Bahadurgarh City,24 June 2018, Bus Terminal ,Elevated,None,None
Brigadier Hoshiyar Singh,24 June 2018, Indian Railways ,Elevated,None,None
Bahadurgarh Udyog Vihar,2022,None,Elevated,None,None
Bahadurgarh Industrial Area,2022,None,Elevated,None,None
Surya Nagar,2022,None,Elevated,None,None
Jakhoda,2022,None,Elevated,None,None
Asoda Todran,2022,None,Elevated,None,None
Rohad,2022,None,Elevated,None,None
Garhi Sampla,2022,None,Elevated,None,None
Ismaila,2022, Bus Terminal ,Elevated,None,None
Sampla,2022, Bus Terminal ,Elevated,None,None
Ismaila Haryana Railway Station,2022, Indian Railways ,Elevated,None,None
Kharawar,2022,None,Elevated,None,None
Kheri Sadh,2022,None,Elevated,None,None
Garhi Bohar,2022,None,Elevated,None,None
Rohtak Industrial Area,2022,None,Elevated,None,None
Rohtak Suncity,2022,None,Elevated,None,None
Tilyar Lake,2022,None,Elevated,None,None
Maharishi Dayanand University Rohtak,2022,None,Elevated,None,None
Dev Colony,2022,None,Elevated,None,None
Sanjay Colony,2022,None,Elevated,None,None
Rohtak Model Town,2022,None,Elevated,None,None
Mansarovar Park Rohtak City,2022,None,Elevated,None,None
DLF Colony Rohtak,2022,None,Elevated,None,None
Rohtak City Centre,2022, Bus Terminal ,Elevated,None,None
Ashok Park Main*,3 April 2010,      Feeder Bus ,Elevated,None,None
Satguru Ram Singh Marg,27 August 2011," Indian Railways 
 Feeder Bus ",Elevated,None,None
Kirti Nagar,27 August 2011," Blue Line 
 Bus Terminal ",At Grade,None,None
Kirti Nagar Industrial Area,2022," Indian Railways 
 Feeder Bus ",Underground,None,None
Mayapuri,2022," Pink Line 
 Feeder Bus ",Underground,None,None
Maya Enclave,2022," Indian Railways 
 Bus Terminal ",Underground,None,None
Sagarpur,2022, Feeder Bus ,Underground,None,None
Manglapuri,2025, Bus Terminal ,Underground,None,None
Palam,2022," Magenta Line 
 Bus Terminal ",Underground,None,None
Dwarka Sector 10,2025," Blue Line 
 Feeder Bus ",Underground,None,None
Dwarka Sector 25,2022," Orange Line 
 Feeder Bus ",Underground,None,None
Dwarka sector 30,2022, Feeder Bus ,Underground,None,None
