Station Name,Phase,Opening,Interchange connection,Station Layout,Platform Level Type,Depot Connection,Depot Layout
Shaheed Sthal,3,8 March 2019, Bus Terminal ,Elevated,Side,None,None
Hindon,3,8 March 2019, Bus Terminal ,Elevated,Side,None,None
Arthala,3,8 March 2019,None,Elevated,Side,None,None
Mohan Nagar,3,8 March 2019, Bus Terminal ,Elevated,Side,None,None
Shyam park,3,8 March 2019, Indian Railways ,Elevated,Side,None,None
Major Mohit Sharma,3,8 March 2019, Indian Railways ,Elevated,Side,None,None
Raj Bagh,3,8 March 2019,None,Elevated,Side,None,None
Shaheed Nagar,3,8 March 2019, Bus Terminal ,Elevated,Side,None,None
Dilshad Garden,2,4 June 2008, Indian Railways   Feeder Bus ,Elevated,Side,None,None
Jhilmil,2,4 June 2008, Feeder Bus ,Elevated,Side,None,None
Mansarovar Park,2,4 June 2008, Feeder Bus ,Elevated,Side,None,None
Shahdara,1,25 December 2002, Indian Railways   Bus Terminal ,Elevated,Side,None,None
Welcome,1,25 December 2002, Pink Line   Feeder Bus ,Elevated,Island,None,None
Seelampur,1,25 December 2002, Feeder Bus ,Elevated,Island,None,None
Shastri Park,1,25 December 2002, Feeder Bus ,At Grade,Side,Shastri Park Depot,At Grade
Kashmere Gate,1,25 December 2002, Yellow Line   Violet Line   ISBT ,Elevated,Side,None,None
Tis Hazari,1,25 December 2002, Feeder Bus ,Elevated,Side,None,None
Pul Bangash,1,3 October 2003, Indian Railways ,,Side,None,None
Pratap Nagar,1,3 October 2003, Indian Railways ,Elevated,Side,None,None
Shastri Nagar,1,3 October 2003, Indian Railways ,Elevated,Side,None,None
Inderlok,1,3 October 2003, Green Line   Feeder Bus ,Elevated,Side,None,None
Kanhiya Nagar,2,31 March 2004, Feeder Bus ,Elevated,Side,None,None
Keshav Puram,2,31 March 2004, Feeder Bus ,Elevated,Side,None,None
Netaji Subhash Place,2,31 March 2004, Pink Line   Feeder Bus ,Elevated,Side,None,None
Kohat Enclave,2,31 March 2004, Feeder Bus ,Elevated,Side,None,None
Pitam Pura,2,31 March 2004, Feeder Bus ,Elevated,Side,None,None
Rohini East,2,31 March 2004, Feeder Bus ,Elevated,Side,None,None
Rohini West,2,31 March 2004, Feeder Bus ,Elevated,Side,None,None
Rithala,2,31 March 2004, Bus Terminal ,Elevated,Side,None,None
